MediaWiki 1.27,PHP 7.1.32,Oct 5 2019 02:14:44,Engine v3.1.0,OPcache v7.1.32
MediaWiki 1.28,PHP 7.0.25,Oct 26 2017 20:11:44,Engine v3.0.0,OPcache v7.0.25
MediaWiki 1.29,PHP 7.1.18,Jun 6 2018 19:45:24,Engine v3.1.0,OPcache v7.1.18
MediaWiki 1.30,PHP 7.1.27,Mar 27 2019 02:16:39,Engine v3.1.0,OPcache v7.1.27
MediaWiki 1.31,PHP 7.3.33,Dec 2 2021 14:58:33,Engine v3.3.33,OPcache v7.3.33
MediaWiki 1.32,PHP 7.2.26,Dec 19 2019 01:15:25,Engine v3.2.0,OPcache v7.2.26
MediaWiki 1.33,PHP 7.2.33,Sep 10 2020 15:18:34,Engine v3.2.0,OPcache v7.2.33
MediaWiki 1.34,PHP 7.3.28,May 12 2021 13:40:34,Engine v3.3.28,OPcache v7.3.28
MediaWiki 1.35,PHP 8.0.30,Nov 21 2023 16:13:28,Engine v4.0.30,OPcache v8.0.30
MediaWiki 1.36,PHP 7.4.29,May 28 2022 09:30:58,Engine v3.4.0,OPcache v7.4.29
MediaWiki 1.37,PHP 7.4.33,Nov 15 2022 06:03:30,Engine v3.4.0,OPcache v7.4.33
MediaWiki 1.38,PHP 8.0.29,Jul 4 2023 15:52:39,Engine v4.0.29,OPcache v8.0.29
MediaWiki 1.39,PHP 8.1.29,Aug 13 2024 02:30:31,Engine v4.1.29,OPcache v8.1.29
MediaWiki 1.40,PHP 8.1.29,Jun 13 2024 03:04:20,Engine v4.1.29,OPcache v8.1.29
MediaWiki 1.41,PHP 8.1.29,Aug 13 2024 02:30:31,Engine v4.1.29,OPcache v8.1.29
MediaWiki 1.42,PHP 8.1.29,Aug 13 2024 02:30:31,Engine v4.1.29,OPcache v8.1.29
